标题,年份,类型,媒体类型,个人评分,观影日期,简介,封面,背景图,演员
爱在阳光下,2025,,short,6.5,2025/7/20,精神病患者李忍出院后，与仇人胡老三展开激烈对抗。十年蛰伏，他究竟是真的痊愈还是伪装？复仇之路将如何收场？,content://com.android.providers.media.documents/document/image%3A1000104697,,孔奇力
锦衣镇天下,2025,,short,8.5,2025/7/20,现代人黄少杰穿越古代，意外加入锦衣卫并获得系统，从此开启开挂人生。破奇案，诛恶寇，一路高升，最终名满天下。他能否适应古代生活？又将如何在这乱世中生存？,https://s3.suju.app/@xdj/45/Wtpnrf/0.jpg,,孔奇力
老千,2025,,short,8.5,2025/7/20,我是老千。 赌桌上，翻云覆雨的老千。但我想用我的经历，告诉你一个最朴素的道理，远离赌博。 因为，十赌九诈，十赌十输！,https://s3.suju.app/@xdj/33/WqCHke/0.jpg,,白方文
利刃出鞘,2025,,short,8.5,2025/7/20,儿子沉迷赌博，父亲竟逼其以赌戒赌？跳楼、断指，十八万巨债背后，是亲情救赎还是深渊？千术能否战胜赌场骗局？父子能否逃脱嗜赌命运？,https://s3.suju.app/@xdj/47/0QfVc/0.jpg,,夏添
S级情报在手，千金大小姐乖乖低头,2025,,short,8.5,2025/7/20,一份神秘档案，记载着豪门千金李玉珍的所有秘密。底层打工人陆平，手握情报，是选择一飞冲天，还是坠入深渊？他能否利用这份情报，赢得金钱、人脉，甚至赢得美人芳心？,https://s3.suju.app/@xdj/48/WQzCoh/0.jpg,,孔奇力
离婚后夫人她惊艳全球,2025,,short,8.5,2025/7/20,一个被假孕逼婚的设计师，通过复出工作和初恋的力量，逆袭豪门，展现都市爱情的甜美与坎坷。,https://s3.suju.app/@xdj/15/Wrg4yG/0.jpg,,白方文
往后余生，多多指教,2025,,short,9.5,2025/7/20,余多多在职场和爱情中逆袭成长，最终找到真爱。,https://s3.suju.app/@xdj/22/PkhNq/0.jpg,,白方文
点绛唇,2025,,short,9,2025/7/20,柳轻雪在大帅府中经历宠辱交加，最终逆袭成为大帅唯一的妻子。,https://s3.suju.app/@xdj/23/ztkLm/0.jpg,,白方文
拐个总裁当爹地,2025,,short,9,2025/7/20,千金夏宛星家破人亡，被退婚后逆袭复仇，揭开豪门阴谋，重获幸福。,https://s3.suju.app/@xdj/17/W5S1HH/0.jpg,,白方文
机长大人请勿偏离心动航线,2025,,short,9,2025/7/20,空姐鹿灵意外邂逅霸道总裁岑屹楼，身份成谜的他竟是王牌机长？职场危机、情感纠葛，鹿灵如何逆袭上位，收获甜宠爱情？总裁的秘密又将如何揭开？,https://s3.suju.app/@xdj/47/1TRb2/0.jpg,,刘萧旭
玫瑰冠冕,2025,,short,9,2025/7/20,豪门少爷与痴情养女在误会中结婚，展开一段波折不断却甜蜜的爱情故事。,https://s3.suju.app/@xdj/15/YV8OU/0.jpg,,申浩男;刘萧旭
逃出绝境时空,2025,,short,8,2025/7/18,一群普通人被卷入残酷的虚拟宇宙，经历生死游戏，只为活着离开并实现愿望。他们能否在绝境中逆袭，揭开虚拟世界的真相，成为拯救世界的超级战士？,https://s3.suju.app/@xdj/49/W1cbQq/0.jpg,,
卧底恋人,2025,,short,8.5,2025/7/18,卧底特工乔麦为救父潜入毒枭组织，与神秘大佬林枫陷入禁忌之恋。面对生死考验，两人将如何抉择？爱情与正义，谁能笑到最后？,https://s3.suju.app/@xdj/33/W0RaqY/0.jpg,,高杨
办公诡夜,2025,,short,7,2025/7/17,公司内，同事们各自心有所属，但他们的暗恋却始终未能开花结果。男主借着自己对女主的喜欢，策划了一连串的“鬼怪”事件，想要利用恐惧让女主依赖自己，而男二则尝试通过同样的手段接近女二。然而，随着一切的逐步展开，他们逐渐意识到，原本看似平凡的事件背后似乎有着更为复杂的阴谋，而他们身边的那个“鬼”，究竟是谁？,https://p6-novel-sign.byteimg.com/novel-pic/359f9f7c6b045d064422c63318f385bd~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770343865&x-signature=xicRpxwFc6M4jT5maLata8%2FuPu0%3D,,
乖乖驯养,2025,,short,8.5,2025/7/15,一场精心策划的豪门阴谋，她从总裁千金沦为“傻子”新娘。看似天真无邪，实则步步为营，手撕仇人，逆风翻盘！嫁给霸道总裁，是羊入虎口，还是驯服野兽？她能否揭开真相，守护真爱？,https://s3.suju.app/@xdj/50/ZAMif/0.jpg,,孔奇力
我有一张小丑牌,2025,,short,8.5,2025/7/12,神秘小丑牌觉醒异能，少年周客被迫卷入异能世界纷争！学院阴谋、圣主追杀，他能否凭借JOKER神牌逆袭成神？父母遇害真相又将如何揭开？,https://s3.suju.app/@xdj/50/HeG31/0.jpg,,柳甯
我本王者！只是低调,2025,,short,8,2025/7/9,全球第一赌神林夜，隐姓埋名却被豪门姐姐逼回家！身怀绝技的他，面对家族阴谋和各路挑衅，将如何逆袭，重回巅峰？豪门姐弟为何争相示好？,https://s3.suju.app/@xdj/44/W5raBG/0.jpg,,翟兆星
父爱折线图,2025,,short,8.5,2025/7/8,出狱即失婚，前浪子杨浪为见女儿被迫营业！黑历史缠身，工作爱情双双受阻。女儿一句“爸爸”，能否唤醒他沉睡的父爱？前妻归来，他又将如何抉择？,https://s3.suju.app/@xdj/46/zpZjL/0.jpg,,邓威
拳王之父子双龙,2025,,short,8,2025-07-06,唐昱曾是无敌的世界拳王天龙，因拒绝打假赛，被马兆丰指使黑龙暗杀，妻子因此丧生，他自己也断了腿，无奈隐于都市。十二年后，儿子唐哲为给父亲治腿，瞒着他去打黑拳，连连获胜却得罪了黑龙。在一场黑拳赛里，唐哲陷入绝境，唐昱为救儿子暴露实力，引出当年的凶手黑龙。一番激战后，唐昱打败黑龙，可麻烦并未结束。,https://images.tmdb.org/t/p/w342/lCX9vBYBEuuukpMXs5PXTYq9l0k.jpg,https://images.tmdb.org/t/p/w780/rTnEljsnWEoKRop7JNOReQh75wz.jpg,邓威
拳王之父子双龙,2025,,short,8,2025/7/6,拳王天龙遭暗算跌落谷底，为复仇隐忍蛰伏，十年磨一剑！昔日仇敌卷土重来，爱人深陷阴谋，他能否逆天改命，重夺荣耀，揭开幕后黑手的惊天阴谋？,https://s3.suju.app/@xdj/50/WLpK9x/0.jpg,,邓威
老祖在上，带全村致富,2025,,short,7.5,2025/7/5,神秘老祖林贤回归，带领落后林家村致富，意外拐来卧底记者柳如烟。铲平村庄？不存在的！看老祖如何装神弄鬼，最终带领全村飞升成仙！这究竟是道德的沦丧，还是人性的扭曲？,https://s3.suju.app/@xdj/50/Wd3jwc/0.jpg,,孔奇力
爸，公司上市了，你考试及格了吗,2025,,short,8.5,2025/7/4,周宇星与父亲周建诚同天生日，互有不满，在流星夜许愿后竟灵魂互换了！儿子职场上演少年老成的滑稽戏，父亲校园课堂里现老爹灵魂迷惑操作，在啼笑皆非的错位生活中，他们能否读懂彼此，找回亲情的温度，,https://image.tmdb.org/t/p/w500/aZ7Z4rfr2vWq4RiHts5ePj8axoV.jpg,,陈贤宇
美人为馅,2025,,short,8.5,2025/7/3,为了不连累自己的爱人，女人狠下心拒绝了男人的求婚，向他展示她其实是很物质的人，没想到男人却摇身一变变成了上市公司的总裁，两人的未来又要何去何从呢。,https://p3-novel-sign.byteimg.com/novel-pic/904fc7d1b4d6c6537865a1b1b4f5d7a9~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770383339&x-signature=irQsUSI5R1yrta4pXAF3iaJMvjQ%3D,,马士尧
绿色出行,2025,,short,8,2025/7/1,新婚夜遭背叛，林砚之惨死！重生归来，他能否识破妻子与表哥的阴谋，手刃仇人，守护公司？致命甜水背后，究竟隐藏着怎样的惊天秘密？,https://s3.suju.app/@xdj/43/nRTQk/0.jpg,,赵志盟
绝境时空之战,2025,,short,8,2025/6/29,2058年，林梦茶等七人被神秘系统拉入虚拟空间参加生死游戏，积分不足即死。反抗者被抹杀后，众人被迫遵守规则。废墟世界中，他们遭怪物袭击因积分分配生分歧，又经历《谁是伪人》《极限生存》等考验。《团队生死战》对抗东岛国小队时，陈百味、叶小满牺牲，众人取胜后得知这是未来人类培养超级战士的虚拟场，现实已被怪物侵蚀。林梦茶领悟生存意义，团队决定攒积分复活同伴，为回归与拯救未来而战。,https://p9-novel-sign.byteimg.com/novel-pic/7ee787ae1698d846b42021bb271e50c8~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1775346217&x-signature=5z4SlXCw%2BZaHvp7GduThiA3gvDU%3D,,
让你养猪，你娶了顶头上司,2025,,short,7.5,2025/6/28,被顶替工作的陈木，被迫回乡养猪，却意外发现猪场老板竟是隐藏的亿万总裁？他能否逆袭人生，揭露弟弟的阴谋，收获爱情与事业？,https://s3.suju.app/@xdj/47/y620dE/0.jpg,,邓威
墨染梨花白,2025,,short,8.5,2025/6/27,沈墨与江梨青梅竹马，长大后因阴谋分离，沈墨成总裁回乡寻找江梨，二人经历重重误会与阴谋，最终重逢并揭开真相。,https://s3.suju.app/@xdj/18/VItAx/0.jpg,,白方文;朱茉颜
被开除这件小事,2025,,short,8,2025/6/25,打工人陈东升意外绑定“被开除”系统，只要被开除就能获得奖励！他一路披荆斩棘，从底层逆袭，最终迎娶白富美，走上人生巅峰？然而，这背后却隐藏着更大的阴谋…他能否守护住自己的爱情和事业？,https://s3.suju.app/@xdj/41/W4jwcv/0.jpg,,陈彦霖
周总每天都想官宣,2025,,short,8.5,2025/6/24,十年前的一场意外事故，让姜迎变成了孤儿，此后姜迎被首富周家收养，成年后与周家的花花公子周易结婚，周易婚后仍死性不改，天天与各种女星传出绯闻，都是姜迎出面收拾烂摊子。然而随着深入相处，姜迎发现周易并不如表面那样浪荡不羁，原来周易小时候曾和姜迎做过短暂的邻居，他之所以假装风流都是伪装，但随着两人感情日渐加深，姜迎却发现十年前害得自己家破人亡的，正是周家……,https://vpic-cover.puui.qpic.cn/l3545je18rj/l3545je18rj_1712762190_vt.jpg/720,,白方文
出渊,2025,,short,8,2025/6/23,叶凡在寻找失踪多年的儿子过程中，面对重重阻碍，通过自己的努力最终揭开真相，逆袭成功。,https://s3.suju.app/@xdj/17/QlmTl/0.jpg,,白方文
家里家外,2025,,short,9,2025/6/20,故事发生在20世纪80年代初的川渝地区，一场特大洪水给这片土地带来了深重的灾难。在救灾的过程中，单身父亲工程师陈海清遇到了墨水厂工人单亲妈妈蔡晓艳。两人因共同的信念和经历产生了深厚的感情，最终喜结良缘。婚后，这个重组家庭的家人们在时代的浪潮中相互扶持、相互尊重，共同书写了一系列充满信任和爱的温馨故事。,https://image.tmdb.org/t/p/w500/cEedWSBTKglZpuwmAPiT8n1WlUw.jpg,,王道铁
不要和陌生人结婚,2025,,short,8,2025/6/19,林雨珊重生复仇，揭露丈夫陆泽阳的阴谋，保护家人和公司。,https://s3.suju.app/@xdj/23/aN65R/0.jpg,,邓威
乡村神医混花都,2025,,short,8,2025/6/19,小村傻医宋钱，意外撞破桃花嫂子秘密，从此桃花运爆棚！逆袭之路开启，却也深陷情感漩涡，他能否守住本心，成就一番事业？,https://s3.suju.app/@xdj/48/QTUZn/0.jpg,,邓威
轻舟已过万重山,2025,,short,8,2025/6/19,一个普通项目主管如何在职场中逆袭,https://s3.suju.app/@xdj/29/WcbDFi/0.jpg,,白方文
一杆清台,2025,,short,7.5,2025/6/18,昔日弃少林争，靠一手出神入化的台球技艺，从外卖小哥逆袭成人生赢家！他能否解开苍龙七宿之谜？又将如何面对豪门千金和红颜知己们的爱恨纠葛？,https://s3.suju.app/@xdj/45/IWxz/0.jpg,,邓威
折他硬骨,2025,,short,8.5,2025/6/18,宋家接连遭遇怪事，疯癫千金姜郁身陷谜团。为复仇她装疯卖傻，步步为营。禁欲总裁贺敛深陷其中，甘愿被利用。真相背后，是爱是恨？她能否手刃仇敌，走出阴霾？,https://s3.suju.app/@xdj/48/WaKsTM/0.jpg,,白方文
都重生了，还谈什么恋爱啊,2025,,short,8.5,2025/6/18,一个被误解的年轻人，通过重生机会，用十年时间完成商业帝国的逆袭，改写命运,https://s3.suju.app/@xdj/29/XCUeZ/0.jpg,,白方文
永失我爱,2025,,short,8.5,2025/6/17,某天，林欣目睹了张英俊的灾难性相亲现场，忍不住与张英俊有了第一次交流并意外发现彼此都在同一个大学里。因此有了更多的接触和了解并渐渐产生了好感。张英俊鼓足勇气向林欣表白，林欣沉默迟疑了很久很久，只答应一起去看烟花。,https://p6-novel-sign.byteimg.com/novel-pic/17edae781fec01b759d15cb3dfe1922c~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770343810&x-signature=q0i04B%2Bnpi%2BJwpeEykQCJ6dc3Xk%3D,,吴明宇
垂死反击,2025,,short,8,2025/6/15,重病的凌飞意外发现妻子不但有了外遇，更是为了霸占全部遗产，二人竟还要卖掉自己的女儿。但此时凌飞的寿命仅剩一个月，凌飞必须要在自己生命的仅剩时间内，设局让二人彻底从女儿的世界里消失。,content://com.android.providers.media.documents/document/image%3A1000117449,,吴明宇
逃婚后，傅夫人的马甲掉了,2025,,short,8,2025/6/14,苏雨眠和傅南城有娃娃亲但不曾见面，苏雨眠因外界传言逃婚。恰逢傅南城是空降总裁，两人在公司相遇，欢喜冤家经历危机逐渐产生感情，最后在傅南城爷爷的助攻下，联合打倒顶替苏雨眠身份的白芊芊，幸福地生活在一起。,https://p9-novel-sign.byteimg.com/novel-pic/9d257b828f0af6c62b230f61ef5ec1ec~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1768279424&x-signature=Zv%2F4SPuQMTfyJhCDeUWcUWnhiGY%3D,,吴明宇
断绝关系后，三个哥哥求我原谅,2025,,short,6.5,2025/6/13,为救大哥顶罪入狱的养女,https://s3.suju.app/@xdj/28/ditkZ/0.jpg,,吴明宇;黄健
双面谜局,2025,,short,8.5,2025/6/12,林霜与男友傅廷川交往五年，却惨遭其毒手，命丧黄泉，不仅如此，傅廷川还狠心陷害她的弟弟傅廷深入狱。然而，林霜奇迹般生还，此后她化名司晚意，怀着满腔仇恨潜伏进傅氏集团。在那里，她凭借智慧与勇气，与傅廷川及其得力手下韩晋、未婚妻赵婉儿展开一场惊心动魄的智斗，历经波折，终于成功扳倒傅廷川。可正当她以为一切都已尘埃落定时，却惊觉背后隐藏着一个更为惊人的阴谋。,https://p6-novel-sign.byteimg.com/novel-pic/d5e8155e5834f5bbe8667a2540d99fd7~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770343756&x-signature=zei%2BIPlg1J%2BJgkIJL3RM1NPyF5A%3D,,吴明宇
在澳门念书的女儿回村了,2025,,short,8.5,2025-06-11,在澳门念书的周有悔放假回村，发现父亲遭同村人灌醉设局欠下巨债，爷爷和父亲还被欺辱，房子将被强占。她打破对亡母誓言，用千术赢下赌局，还意外得知母亲去世真相，遂踏上复仇之路，最终伸张正义。,https://images.tmdb.org/t/p/w342/x6JYjOyOjfZZkMExKmX5x6XTMX3.jpg,https://images.tmdb.org/t/p/w780/64XHvwqDCowAWbCS1XdvWBUaopE.jpg,
蚀骨婚情：顾总夫人不好惹,2025,,short,8,2025/6/11,三年前，苏颜被推下悬崖导致肾衰竭，失去了当母亲的机会。顾以琛坚信苏然是凶手，对她恨之入骨，为了拯救苏颜的生命，顾以琛要苏然进行肾脏移植手术。苏然虽然极力辩解自己并未推苏颜，但顾以琛已经被仇恨蒙蔽了双眼，完全听不进去她的解释。,https://p3-reading-sign.fqnovelpic.com/novel-pic/95f53925050ccc768114572708b51dd8~tplv-snk2bdmkp8-super-reso-double-5-v2:1200:0.image?lk3s=ae45642e&x-expires=1770377206&x-signature=wd9W06%2B5sljeeDjVk%2BV6CbPQ9Xg%3D,,孔奇力
腹黑宝宝,2025,,short,8,2025/6/10,乔汐因误会失去了最好的朋友小柔，同时也失去了爱人慕天朗。五年后，乔汐决定找回属于自己的一切，展开了一场复仇之战。在这个过程中，她也逐渐明白了真相，找回了真爱。,https://s3.suju.app/@xdj/11/WbcOdv/0.jpg,,孔奇力
逃生游戏,2025,,short,8,2025/6/7,叶凡获得能看到人寿命的能力，揭开一系列死亡谜团，最终破解诅咒。,https://s3.suju.app/@xdj/21/oICkH/0.jpg,,孔奇力
回村后我被全网直播了,2025,,short,6.5,2025/6/5,富二代陈子豪回乡订婚,https://s3.suju.app/@xdj/31/Wz58sQ/0.jpg,,孔奇力
淬火,2025,,short,8,2025/6/4,五年隐忍，他从底层逆袭成豪门总裁！当身份揭晓，前妻后悔痛哭，他却已心如止水。身患绝症的他，又将如何面对亲情、爱情与复仇？,https://s3.suju.app/@xdj/39/7BGil/0.jpg,,孔奇力
神医的醒悟,2025,,short,7.5,2025/6/3,外科医生陈华被副主任朱有良与患者家属徐丽丽合谋陷害，换氧杀人后蒙冤入狱，右手致残含恨而终。重生回手术前十分钟，他锁定朱有良调换氧气面罩的致命动作，联合实习生小张取证，步步拆穿阴谋。当警报响起，患者苏醒，朱有良的冷汗与徐丽丽的伪证链接连崩塌，却牵出更深的医疗黑幕。这场以手术刀为刃的重生复仇，在生死倒计时中剖开人性与权力的血腥真相。,https://p3-reading-sign.fqnovelpic.com/novel-pic/62ff8cae1f3c6f34985306abb7ae25dd~tplv-snk2bdmkp8-super-reso-double-5-v2:1200:0.image?lk3s=ae45642e&x-expires=1770377247&x-signature=nfbMwMkITVesRK4%2BmgcmC7r9wfA%3D,,孔奇力
大庆第一帝,2025,,short,8,2025/6/2,庆帝李钰，励精图治，带领国家走向富强，怎料太上皇领匈奴攻破城门，李钰被迫害致死。 然而上天有好生之德，时间倒流让李钰有再来一次的机会，那就先解内忧，再除外患，天子守国门，君王死社稷！,https://image.tmdb.org/t/p/w500/hj6G6xzOSQKG4GxHTXrGNrYQXo3.jpg,,孔奇力
破产五年后美女老板找上我,2025,,short,8.5,2025/6/1,江城陆氏集团破产，陆轻舟辍学消失。五年后与首富的初恋苏轻瑶偶遇，二人因误会互相猜忌。后经历波折，反派出现致集团危机，萌娃参与，冷月查出真相，最终误会解开，陆苏和好，穆韶华成孩子干妈，三人幸福生活。,https://p3-novel-sign.byteimg.com/novel-pic/a83d5491e3310b1cae39bf2829219202~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1769583554&x-signature=%2F3HQu%2BHsEN5aM7%2F95IqM%2BLf%2BDVM%3D,,吴明宇
二十九,2025,,short,8.5,2025/5/31,年轻的袁裴在都市中经历爱与挫折，在朋友与家人的支持下，逐步成长并实现梦想。,https://s3.suju.app/@xdj/20/6d2YM/0.jpg,,杨蓉
我有爱人了,2025,,short,8,2025/5/30,妻子白荷在丈夫厉景渊的冷漠与背叛中艰难维权，揭露家族阴谋，为子复仇的故事。,https://s3.suju.app/@xdj/18/WFrwsa/0.jpg,,孔奇力
沈小姐她真的不爱了,2025,,short,8.5,2025/5/30,沈抒绮意外穿入电视剧，从原剧本的悲情女配逆袭为掌控命运的女王。面对陆砚晟的绝情和沈初眠的算计，沈抒绮凭借预知剧情，智斗渣男，潇洒离职，更与商业大亨祁煜携手，不仅在商战中大展拳脚，更谱写了浪漫新篇章。,https://p3-novel-sign.byteimg.com/novel-pic/bf4961700da661040f9397255c3687f9~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770198700&x-signature=KJy8Kl2ln2tbS6bbeCkBZ3bHI%2BE%3D,,王凯沐;吴明宇
双生风云,2025,,short,8,2025-05-29,池远山在麒麟集团会客厅中遭遇背叛身亡，池宴和池渊在混乱中逃生并发誓为家族复仇。20年后，池宴开始实施复仇计划，经过一系列事件后，兄弟二人重逢并成功复仇。,https://images.tmdb.org/t/p/w342/29ISZpeYRCAQhF03aaSdz2PscJt.jpg,https://images.tmdb.org/t/p/w780/6dP3D1WCkT3bRgOXSgnJE3zN3aH.jpg,金佳遇;田杨
任意妄想,2025,,short,8,2025/5/29,一场精心策划的接近，她步步为营只为复仇。当真相浮出水面，爱恨交织，她又该如何抉择？豪门恩怨，爱恨情仇，谁才是最终赢家？,https://s3.suju.app/@xdj/47/Wao4nu/0.jpg,,哲博
再次告白,2025,,short,9,2025/5/27,美艳活泼的小网红苏念意家中突发大火，危急时刻，消防员队长沈知南带领队员及时赶到救援。苏念意抬眼间，对身姿挺拔、英勇无畏的沈知南一见钟情。此后，她满心满眼都是这位英雄，毫不犹豫地制定了一个 “攻陷沈知南计划”，就此踏上勇敢追爱的漫漫征途。,https://www.shanhuzs.com/upload/vod/20250112-1/a65a6c4ae6fa6b206215cd1625deedd0.jpg,,吴明宇
我，最强毒士，女帝直呼活阎王,2024,,short,8,2025-05-26,一代奸商高阳，遭人暗算，不幸陨落，却奇迹般穿越至大乾王朝，恰逢女帝初登大宝，广开才路，招贤纳士。他，本为牺牲品，却阴差阳错揭下皇榜，摇身一变，成为惊世毒士，横空出世！他智计无双，平抑粮价解民困，击退强楚安国邦，削藩削权固中央，更诛荣亲王以儆效尤。岁月流转，他步步为营，平定七国纷乱，实现书同文、车同轨之伟业，最终辅佐女帝，共铸盛世，自己亦登上人生之巅，成就非凡传奇！,https://images.tmdb.org/t/p/w342/t1xEOcf2SeewvbXBhbmphfjYBhB.jpg,,孔奇力
荒年全村啃树皮，我有系统满仓肉,2025,,short,9,2025/5/26,现代女强人穿越古代成恶毒婆婆，面对四个孝顺儿子和嗷嗷待哺的家庭，看她如何利用系统，从荒年求生到带领全村致富，洗白人设，最终赢得幸福？,https://gimg2.baidu.com/gimg/src=https%3A%2F%2Fwangwangzyimg.com%2Fupload%2Fvod%2F20250510-1%2F6a514f7a914f1f423270dc5b2230599d.jpg&app=2028,,郭静
时停千年：我被困在同一天,2025,,short,8.5,2025/5/25,男主被困时间循环，每天重置！为攻略江城第一美人李若冰，他用尽手段，豪门千金、地头蛇纷纷入局。他能否打破死局，赢得美人芳心？时间循环的真相又是什么？,https://s3.suju.app/@xdj/47/HfkTY/0.jpg,,彭羽
歌神出山,2025,,short,7.5,2025/5/24,歌神骆良遭爱徒雨晴背叛，被指抄袭陨落歌坛。多年后，他携新徒许子兮重返舞台，雨晴为阻其翻身，不惜一切代价。师徒反目，真相迷雾重重，歌神能否逆风翻盘？,https://s3.suju.app/@xdj/45/w9iWh/0.jpg,,孔奇力
蓄意占有,2025,,short,8,2025/5/24,一场纠缠不清的复仇与情网，谁才是真正的猎手和猎物？命运如何捉弄着每一个人？,https://gimg2.baidu.com/gimg/src=https%3A%2F%2Fwangwangzyimg.com%2Fupload%2Fvod%2F20250107-1%2F103f2b31e8e2e9aa0ca7c11952d78ec8.jpg&app=2028,,王奕然;哲博
甜妻入怀权爷求上位,2025,,short,9,2025/5/23,慕如星为了筹钱去酒吧当服务员，意外与权修言发生了关系并怀孕。 之后，慕如星的家人逼她堕胎并进厂工作，甚至对她动手。 权修言得知后赶到现场，两人迅速结婚。 婚后，权修言对慕如星百般呵护，而慕如星也在他的陪伴下不断成长，开始整顿豪门。,https://image.tmdb.org/t/p/w500/8L4aKo8huDfh2D4oJNfHLyEqBai.jpg,,孔奇力
白式千金不好惹,2025,,short,7.5,2025/5/23,白若宁身为白式集团的千金和唯一继承人，却下嫁林家，甘愿在家做贤妻良母。却没想到被冒领对丈夫林穆尘救命之恩的沈嘉礼恶意欺辱，并在林穆尘的强迫下成为沈嘉礼的移动血库…如今她化身亿万女王强势归来，定要叫曾经欺负她的人知道她有多不好惹。,https://p6-novel-sign.byteimg.com/novel-pic/5d3a6d2ba377395f9a82f5b006f395a6~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1769508721&x-signature=DE%2FzPEM59Y1hJJbk8rqN6YVGAgY%3D,,吴明宇
大上海之一生所爱,2024,,short,8.5,2025-05-22,30年前，林枭与母亲被追杀，与双胞胎哥哥顾云深失散，流落海外。 母亲去世后，为了完成母亲的遗愿，加入“狼群”，并在这里遇到了教官舒雅。 两人相识相爱，但是最终在一次任务中，舒雅为了救林枭中枪。 林枭悲痛万分，却不知道自己心爱之人并没有死亡。 随后林枭依照母亲遗愿回到上海，与哥哥顾云深见面，并与顾云深计划瞒天过海找出当年追杀母亲的元凶。,https://images.tmdb.org/t/p/w342/gmzWSoVyBhNx51h7smfCdBvKhrx.jpg,https://images.tmdb.org/t/p/w780/oLX2XKIFb7KdTuzpB7CLPoUZWQI.jpg,孔奇力;张紫淋
风起上海滩,2025,,short,8.5,2025-05-22,张六一与程程相识并坠入爱河。 然而杜先生垂涎程程的美貌，欲强行将她带走。 张六一挺身而出，成功保护了程程，这一举动让让他与杜先生结下了梁子。 随后展开了一系列英雄救美的故事。,https://images.tmdb.org/t/p/w342/qwdrnmzWowVrRt7SPiWvooa12tz.jpg,https://images.tmdb.org/t/p/w780/hz4l9pWnbulUH8aDQ3mrfPNE5bI.jpg,邓威;曹千祎
偷生双胞胎，被豪门老公掐腰狂宠,2025,,short,8.5,2025/5/22,沈音音是豪门千金，失去记忆,content://com.android.providers.media.documents/document/image%3A1000117446,,孔奇力
女儿重生劝我梭哈虚拟币,2025,,short,8,2025/5/22,女儿重生，带父亲逆袭复仇，投资虚拟币成首富。,https://s3.suju.app/@xdj/20/y3ruVV/0.jpg,,孔奇力
拐个总裁回家,2025,,short,8,2025/5/22,网上租男友?总裁玩儿心大起,https://p6-novel-sign.byteimg.com/novel-pic/1be4f652b04347d8989380ea34259599~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1769348071&x-signature=UWCVdZmwp2rLOXxp3lBLmRMUBD8%3D,,
风起上海滩,2025,,short,8.5,2025/5/22,上海滩风云突变，少帅张六一为爱不惜与青帮杜先生为敌，枪指恶霸！他能否在权势倾轧中守护爱人？程程又将如何抉择？少帅最终能否放下一切，与爱人归隐田园？,https://s3.suju.app/@xdj/41/W3Kkp4/0.jpg,,邓威
不要相信鳄鱼的眼泪,2025,,short,8,2025/5/21,安嘉铭是一个掌控欲极强的十足暴力狂，妻子陶璃经常遭受他的家暴，无数次的拳脚相向，陶璃都在生死边缘挣扎。经过九死一生，陶璃看清了安嘉铭的虚伪面目，拼尽全力收集证据，通过努力将安嘉铭送进牢里，而自己最后也逃出牢笼，重获新生。,content://com.android.providers.media.documents/document/image%3A1000117455,,赵龙
执他之手,2024,,short,9.5,2025-05-20,她重生到了1976年，她背着自己的小包袱下乡投奔自己的“老公”。此时的谢怀清寄人篱下，性格还凶巴巴的。她坚定了要改变老公命运的决心！于是这位成分不好的小混混，天天被城里来的知情姑娘倒追，每天想方设法跟在他屁股后面！,https://images.tmdb.org/t/p/w342/2OjO0qMOhN0LTG6CjoLgcRjhZaR.jpg,https://images.tmdb.org/t/p/w780/pmxzwY86BEHRDdtTcvGMljxmXTo.jpg,孔奇力;孙芊浔
全世界最爱我的她,2025,,short,8.5,2025/5/20,该剧讲述了祁鲸落在与丈夫肖叙的结婚五周年庆典上，遭遇惊天变故。同父异母的妹妹祁彤彤大闹现场，诬陷她抢走未婚夫，混乱中祁鲸落被推倒，不幸流产。更让她绝望的是，肖叙竟抱着祁彤彤决然离去。深受重创的祁鲸落，心灰意冷选择离婚，甚至试图轻生。好在命运转折，她凭借自身智慧和毅力投身事业，努力站稳脚跟。而肖叙在她离开后，才惊觉生活处处都是她的付出，如梦初醒的他，开启艰难追妻之路的故事。,https://image.tmdb.org/t/p/w500/kbP6eu7HXAMIh2K91D1QdfDLJzH.jpg,,刘萧旭
